"age","gender","race","N"
98,"Female","Non_Hispanic_White",36386
99,"Female","Non_Hispanic_White",25494
0,"Male","Non_Hispanic_Black",307232
1,"Male","Non_Hispanic_Black",308959
2,"Male","Non_Hispanic_Black",318681
3,"Male","Non_Hispanic_Black",318887
4,"Male","Non_Hispanic_Black",309983
5,"Male","Non_Hispanic_Black",305706
6,"Male","Non_Hispanic_Black",303280
7,"Male","Non_Hispanic_Black",300632
8,"Male","Non_Hispanic_Black",305318
9,"Male","Non_Hispanic_Black",316587
10,"Male","Non_Hispanic_Black",326228
11,"Male","Non_Hispanic_Black",318191
12,"Male","Non_Hispanic_Black",319943
13,"Male","Non_Hispanic_Black",318291
14,"Male","Non_Hispanic_Black",318692
15,"Male","Non_Hispanic_Black",335760
16,"Male","Non_Hispanic_Black",351606
17,"Male","Non_Hispanic_Black",362528
18,"Male","Non_Hispanic_Black",366662
19,"Male","Non_Hispanic_Black",365551
20,"Male","Non_Hispanic_Black",356361
21,"Male","Non_Hispanic_Black",330483
22,"Male","Non_Hispanic_Black",307246
23,"Male","Non_Hispanic_Black",292117
24,"Male","Non_Hispanic_Black",284399
25,"Male","Non_Hispanic_Black",281248
26,"Male","Non_Hispanic_Black",266358
27,"Male","Non_Hispanic_Black",268526
28,"Male","Non_Hispanic_Black",266937
29,"Male","Non_Hispanic_Black",264449
30,"Male","Non_Hispanic_Black",276602
31,"Male","Non_Hispanic_Black",256257
32,"Male","Non_Hispanic_Black",246711
33,"Male","Non_Hispanic_Black",242530
34,"Male","Non_Hispanic_Black",233100
35,"Male","Non_Hispanic_Black",240786
36,"Male","Non_Hispanic_Black",232044
37,"Male","Non_Hispanic_Black",239694
38,"Male","Non_Hispanic_Black",249748
39,"Male","Non_Hispanic_Black",260851
40,"Male","Non_Hispanic_Black",264326
41,"Male","Non_Hispanic_Black",244868
42,"Male","Non_Hispanic_Black",246042
43,"Male","Non_Hispanic_Black",244995
44,"Male","Non_Hispanic_Black",255771
45,"Male","Non_Hispanic_Black",269896
46,"Male","Non_Hispanic_Black",267961
47,"Male","Non_Hispanic_Black",265238
48,"Male","Non_Hispanic_Black",262131
49,"Male","Non_Hispanic_Black",263494
50,"Male","Non_Hispanic_Black",271279
51,"Male","Non_Hispanic_Black",258651
52,"Male","Non_Hispanic_Black",251718
53,"Male","Non_Hispanic_Black",247615
54,"Male","Non_Hispanic_Black",236617
55,"Male","Non_Hispanic_Black",230745
56,"Male","Non_Hispanic_Black",214190
57,"Male","Non_Hispanic_Black",200017
58,"Male","Non_Hispanic_Black",188489
59,"Male","Non_Hispanic_Black",185164
60,"Male","Non_Hispanic_Black",179950
61,"Male","Non_Hispanic_Black",166202
62,"Male","Non_Hispanic_Black",156963
63,"Male","Non_Hispanic_Black",148366
64,"Male","Non_Hispanic_Black",117295
65,"Male","Non_Hispanic_Black",115654
66,"Male","Non_Hispanic_Black",107744
67,"Male","Non_Hispanic_Black",104356
68,"Male","Non_Hispanic_Black",93558
69,"Male","Non_Hispanic_Black",85991
70,"Male","Non_Hispanic_Black",83184
71,"Male","Non_Hispanic_Black",75385
72,"Male","Non_Hispanic_Black",70714
73,"Male","Non_Hispanic_Black",64858
74,"Male","Non_Hispanic_Black",62093
75,"Male","Non_Hispanic_Black",57950
76,"Male","Non_Hispanic_Black",51572
77,"Male","Non_Hispanic_Black",48075
78,"Male","Non_Hispanic_Black",43087
79,"Male","Non_Hispanic_Black",38678
80,"Male","Non_Hispanic_Black",37087
81,"Male","Non_Hispanic_Black",31935
82,"Male","Non_Hispanic_Black",28893
83,"Male","Non_Hispanic_Black",26403
84,"Male","Non_Hispanic_Black",23297
85,"Male","Non_Hispanic_Black",18506
86,"Male","Non_Hispanic_Black",16219
87,"Male","Non_Hispanic_Black",14338
88,"Male","Non_Hispanic_Black",12234
89,"Male","Non_Hispanic_Black",10453
90,"Male","Non_Hispanic_Black",8581
91,"Male","Non_Hispanic_Black",7046
92,"Male","Non_Hispanic_Black",5549
93,"Male","Non_Hispanic_Black",4281
94,"Male","Non_Hispanic_Black",3419
95,"Male","Non_Hispanic_Black",2419
96,"Male","Non_Hispanic_Black",1722
97,"Male","Non_Hispanic_Black",1236
98,"Male","Non_Hispanic_Black",869
99,"Male","Non_Hispanic_Black",642
0,"Female","Non_Hispanic_Black",297062
1,"Female","Non_Hispanic_Black",299734
2,"Female","Non_Hispanic_Black",309681
3,"Female","Non_Hispanic_Black",307659
4,"Female","Non_Hispanic_Black",300827
5,"Female","Non_Hispanic_Black",295241
6,"Female","Non_Hispanic_Black",293403
7,"Female","Non_Hispanic_Black",291519
8,"Female","Non_Hispanic_Black",295987
9,"Female","Non_Hispanic_Black",306010
10,"Female","Non_Hispanic_Black",314443
11,"Female","Non_Hispanic_Black",306874
12,"Female","Non_Hispanic_Black",308538
13,"Female","Non_Hispanic_Black",308434
14,"Female","Non_Hispanic_Black",308889
15,"Female","Non_Hispanic_Black",323132
16,"Female","Non_Hispanic_Black",338510
17,"Female","Non_Hispanic_Black",346581
18,"Female","Non_Hispanic_Black",354570
19,"Female","Non_Hispanic_Black",360724
20,"Female","Non_Hispanic_Black",356539
21,"Female","Non_Hispanic_Black",334865
22,"Female","Non_Hispanic_Black",313671
23,"Female","Non_Hispanic_Black",302253
24,"Female","Non_Hispanic_Black",297769
25,"Female","Non_Hispanic_Black",297354
26,"Female","Non_Hispanic_Black",286022
27,"Female","Non_Hispanic_Black",290133
28,"Female","Non_Hispanic_Black",291933
29,"Female","Non_Hispanic_Black",290776
30,"Female","Non_Hispanic_Black",302614
31,"Female","Non_Hispanic_Black",284012
32,"Female","Non_Hispanic_Black",274149
33,"Female","Non_Hispanic_Black",272165
34,"Female","Non_Hispanic_Black",261247
35,"Female","Non_Hispanic_Black",269471
36,"Female","Non_Hispanic_Black",262020
37,"Female","Non_Hispanic_Black",271423
38,"Female","Non_Hispanic_Black",281344
39,"Female","Non_Hispanic_Black",295629
40,"Female","Non_Hispanic_Black",293606
41,"Female","Non_Hispanic_Black",272888
42,"Female","Non_Hispanic_Black",275159
43,"Female","Non_Hispanic_Black",275975
44,"Female","Non_Hispanic_Black",286257
45,"Female","Non_Hispanic_Black",300906
46,"Female","Non_Hispanic_Black",300268
47,"Female","Non_Hispanic_Black",297489
48,"Female","Non_Hispanic_Black",295718
49,"Female","Non_Hispanic_Black",297803
50,"Female","Non_Hispanic_Black",304645
51,"Female","Non_Hispanic_Black",292560
52,"Female","Non_Hispanic_Black",284124
53,"Female","Non_Hispanic_Black",283537
54,"Female","Non_Hispanic_Black",272408
55,"Female","Non_Hispanic_Black",265899
56,"Female","Non_Hispanic_Black",251916
57,"Female","Non_Hispanic_Black",236737
58,"Female","Non_Hispanic_Black",225546
59,"Female","Non_Hispanic_Black",223938
60,"Female","Non_Hispanic_Black",216956
61,"Female","Non_Hispanic_Black",202370
